ingredient_id,ingredient_name_en,ingredient_name_fr,co2_per_kg,water_L_per_kg,energy_MJ_per_kg
ingredient:fennel_seed,"Fennel, seed","Fenouil, graine",4.2646721342185705,1.4644250556,32.9
ingredient:fenugreek_seed,"Fenugreek, seed","Fenugrec, graine",18.7965247930358,4.3742990343,78.8
ingredient:ginger_powder,"Ginger, powder","Gingembre, poudre",4.043710605448569,2.1825974396,31.7
ingredient:ginger_raw,"Ginger, raw","Gingembre, racine crue",0.98911400891257,1.7928164526,7.35
ingredient:bay_leaves,"Bay, leaves","Laurier, feuille",3.731555726700571,4.3938264886,29.5
ingredient:nutmeg,Nutmeg,Noix de muscade,4.46174437261857,1.4656240146,34.1
ingredient:paprika,Paprika,Paprika,18.7965247930358,4.3742990343,78.8
ingredient:poppy_seed,"Poppy, seed","Pavot, graine",5.79439118464057,4.3590322886,36.2
ingredient:white_pepper_powder,"White pepper, powder","Poivre blanc, poudre",18.7967633542186,4.375095484599999,78.8
ingredient:cayenne_pepper,Cayenne pepper,Poivre de Cayenne ou piment de Cayenne,18.7965247930358,4.3742990343,78.8
ingredient:black_pepper_powder,"Black pepper, powder","Poivre noir, poudre",18.798701948435795,4.3746777473,79.0
ingredient:mix_of_spices,Mix of 4 spices,Quatre épices,12.810517337335805,3.3598220603,59.8
ingredient:saffron,Saffron,Safran,18.7965247930358,4.3742990343,78.8
ingredient:vanilla_alcoholic_extract,"Vanilla, alcoholic extract","Vanille, extrait alcoolique",8.749370591942611,0.680444270777,55.5
ingredient:vanilla_aqueous_extract,"Vanilla, aqueous extract","Vanille, extrait aqueux",8.749370591942611,0.680444270777,55.5
ingredient:garlic_powder_dried,"Garlic, powder, dried","Ail séché, poudre",3.53850540653657,0.8293855446,29.4
ingredient:garlic_fresh,"Garlic, fresh","Ail, cru",0.7665688831028601,0.5520477322,6.38
ingredient:dill_fresh,"Dill, fresh","Aneth, frais",1.75823777664686,5.1549029042,12.4
ingredient:basil_fresh,"Basil, fresh","Basilic, frais",1.75823777664686,5.1549029042,12.4
